"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Allan Houston",839,727,28311,5337,12017,1305,3247,4032,8770,2572,2979,353,2081,2434,1990,566,139,1760,2062,14551
"Allan Ray",47,5,710,100,259,48,116,52,143,42,55,18,51,69,43,20,3,42,85,290
"Allen Crabbe",418,114,9778,1289,3065,653,1715,636,1350,394,476,120,1030,1150,467,238,108,302,811,3625
"Allen Iverson",1064,1042,43303,9532,22369,1158,3704,8374,18665,7235,9256,814,3025,3839,6488,2213,185,3740,2006,27457
"Allen Leavell",700,NA,16248,2549,5666,141,603,2408,5063,1445,1733,294,870,1164,3339,929,120,1324,1489,6684
"Allen Murphy",31,NA,266,44,119,NA,NA,44,118,30,44,27,24,51,13,10,8,NA,57,118
"Allie McGuire",2,NA,10,2,4,NA,NA,2,4,0,0,0,2,2,1,0,0,NA,2,4
"Allonzo Trier",88,4,1750,283,624,71,185,212,439,213,266,37,189,226,147,31,18,138,146,850
"Alondes Williams",1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0
"Alonzo Bradley",99,NA,1139,184,440,NA,NA,183,439,71,101,39,112,151,74,24,7,80,125,440
"Alonzo Gee",527,249,10851,1209,2759,216,658,993,2101,692,920,488,1148,1636,504,454,126,535,944,3326
"Alonzo Mourning",875,703,26677,5216,9913,22,89,5194,9824,4139,6003,2237,5098,7335,964,422,2430,2266,2892,14593
"Alperen Şengün",117,55,2750,525,1005,39,149,486,856,299,413,285,510,795,346,97,114,255,365,1388
"Alphonso Ford",11,0,114,16,52,1,10,15,42,2,4,8,12,20,10,3,0,9,7,35
"Alton Ford",73,0,524,70,138,0,0,70,138,46,66,35,89,124,11,6,8,37,115,186
"Alton Lister",1017,601,19700,2565,5012,1,9,2564,5003,1310,2190,1911,4365,6276,933,357,1515,1498,3315,6441
"Alvan Adams",988,NA,27203,5709,11464,NA,NA,5707,11449,2490,3160,2015,4922,6937,4012,1289,808,NA,3214,13910
"Alvin Heggs",4,0,14,3,5,0,0,3,5,2,3,1,1,2,0,0,0,0,0,8
"Alvin Jones",23,2,126,8,20,0,0,8,20,10,20,13,23,36,3,3,9,11,35,26
"Alvin Robertson",848,734,26675,4659,9784,276,922,4383,8862,1906,2579,1728,2607,4335,4192,2267,341,2249,2856,11500
